id,created_at,lat,lng,address,description,status,confirmed_count,filled_at,expired_at
030ccca5-2cc7-4365-a9a3-05d6486b44fb,2026-06-20T16:06:21.042927+00:00,43.4032,-80.3267,"580 Hespeler Rd., Hespeler Road, Cambridge, Region of Waterloo, Southwestern Ontario, Ontario, N1R 6J8, Canada",Severe damage,reported,1,,
6b558428-4b3c-4478-b1bc-2829dd0aa7e5,2026-06-12T23:51:56.239346+00:00,43.4298,-80.432,Fairway Road North Centreville Chicopee,Minor damage,reported,1,,
398f9eb1-aea9-4253-94e3-1cc0a9c389af,2026-06-12T23:47:09.560139+00:00,43.4315,-80.431,178 Jansen Avenue Centreville Chicopee,Moderate damage,reported,1,,
8dafbe90-7220-4edb-b5b3-1312d3366a50,2026-06-12T14:01:04.778481+00:00,43.507,-80.4019,1180 Hopewell Creek Road,Severe damage,reported,1,,
bb315e42-619e-427a-9fb4-11ae6559c710,2026-06-09T01:20:15.074877+00:00,43.4465,-80.4774,"51, Pandora Avenue North, King East, Kitchener, Region of Waterloo, Southwestern Ontario, Ontario, N2H 1E2, Canada",Moderate damage,reported,1,,
4dae7749-d02b-4224-ab07-fc3232d447c2,2026-06-08T11:03:55.714522+00:00,43.4345,-80.4391,29 Falesy Avenue Centreville Chicopee,Moderate damage,reported,1,,
0e7e87b1-e955-42c0-8fe6-c9880310ac42,2026-06-07T18:45:08.881454+00:00,43.4952,-80.5767,"Coldstream Drive, Waterloo, Region of Waterloo, Southwestern Ontario, Ontario, N2V 2A4, Canada",Severe damage,reported,1,,
dea3593a-4fe2-4718-be21-567721833d1a,2026-06-04T16:43:11.762292+00:00,43.4348,-80.434,220 Kinzie Avenue Centreville Chicopee,Minor damage,expired,1,,2026-09-03T03:00:00.235968+00:00
32c356d0-3920-4027-88a0-0ec4ee0e7bd2,2026-05-30T02:06:41.938497+00:00,43.4556,-80.5017,46 Moore Avenue Mt. Hope,Hazardous,expired,1,,2026-08-28T03:00:00.30999+00:00
2ee2e84e-635e-477a-8101-fd6cdae00722,2026-05-29T21:04:34.133685+00:00,43.4735,-80.4429,569 Bingemans Centre Drive Victoria North,Severe damage,expired,1,,2026-08-28T03:00:00.30999+00:00
f83356c7-1caa-47af-9edf-d238011f250c,2026-05-28T16:51:27.243188+00:00,43.3973,-80.3175,"495, Conestoga Boulevard, Cambridge, Region of Waterloo, Southwestern Ontario, Ontario, N1R 7H7, Canada",Moderate damage,expired,1,,2026-08-27T03:00:00.257829+00:00
e65d9d5f-0879-4da3-be46-6f8c6aa5ff91,2026-05-07T15:27:17.925549+00:00,43.4213,-80.4425,298 Fairway Road South Vanier,Hazardous,expired,1,,2026-08-06T03:00:00.26519+00:00
d9d47269-1c67-40d8-9d34-33519b291057,2026-05-04T21:36:30.287005+00:00,43.4536,-80.4933,67 Water Street North City Commercial Core,Moderate damage,expired,1,,2026-08-03T03:00:00.246893+00:00
e2e1da42-9f35-46b6-897c-c57ff9c2983d,2026-05-04T15:28:52.401665+00:00,43.385,-80.3012,Franklin Boulevard,Severe damage,expired,1,,2026-08-03T03:00:00.246893+00:00
b5fe3833-b0c3-4057-b668-1aff0d077c33,2026-05-04T15:26:47.42127+00:00,43.3584,-80.297,1 Monroe Street Galt,Moderate damage,expired,1,,2026-08-03T03:00:00.246893+00:00
914d9a0e-1b87-448d-b0fa-72f380ec0005,2026-05-02T19:38:27.807463+00:00,43.4518,-80.4623,"Ada Street, Rosemount, Kitchener, Region of Waterloo, Ontario, N2B 1G7, Canada",Severe damage,expired,1,,2026-08-01T03:00:00.312079+00:00
